list_name,name,label::English,label::Arabic,Governorate
governorate_wash,al.anbar,al.anbar,???????,
governorate_wash,baghdad,Baghdad,?????,
governorate_wash,duhok,Duhok,????,
governorate_wash,diyala,Diyala,?????,
governorate_wash,erbil,Erbil,?????,
governorate_wash,kerbala,Kerbala,??????,
governorate_wash,maysan,Maysan,?????,
governorate_wash,ninewa,Ninewa,?????,
governorate_wash,al.sulaymaniyah,al.sulaymaniyah,??????????,
governorate_wash,kirkuk,Kirkuk,?????,
governorate_wash,salah al-din,Salah Al-Din,???? ?????,
governorate_wash,al.najaf,Najaf,?????,
governorate_wash,thi.qar,Thi Qar,?? ???,
governorate_wash,al.basrah,Basrah,??????,
governorate_wash,al.qadissiya,Qadissiya,????????,
governorate_wash,babil,Babylon,????,
governorate_wash,wassit,Wassit,????,
,,,,
camp_name,Al_Khalidiya_Central_camp,Al-Khalidiya Central camp,???? ???????? ,al.anbar
camp_name,aaf,Amriyat Al-Fallujah Camp,???? ?????? ???????,al.anbar
camp_name,htc,Habbaniya Tourist City camps,????? ???????? ????????,al.anbar
camp_name,bzbz,Bezabize Camps,????? ,al.anbar
camp_name,other,Other,????,al.anbar
camp_name,Shooting_Camp_/_Al_Ahel,Shooting Camp / Al Ahel,???? ????? ????? / ?????,baghdad
camp_name,Al_Nabi_Younis,Al-Nabi Younis,????? ????,baghdad
camp_name,AlAmal_Nassir_WaSalam_Caravans,Al-Amal / Nassir Wa Salam Caravans,????? / ??????? ????? ???????,baghdad
camp_name,Zayona,Zayona,?????,baghdad
camp_name,other,Other,????,baghdad
camp_name,Bajed_Kandala,Bajed Kandala,????? ??????,duhok
camp_name,Kabarto_1,Kabarto 1,?????? 1,duhok
camp_name,Kabarto_2,Kabarto 2,?????? 2,duhok
camp_name,Darkar,Darkar,??????,duhok
camp_name,Dawadia,Dawoudia,???????,duhok
camp_name,Bersive_2,Bersive 2,????? 2,duhok
camp_name,Bersive_1,Bersive 1,????? 1,duhok
camp_name,Rwanga_Community,Rwanga Community,???? ??????,duhok
camp_name,Khanke,Khanke,?????,duhok
camp_name,Shariya,Shariya,?????,duhok
camp_name,Chamishku,Chamishku,???????,duhok
camp_name,other,Other,????,duhok
camp_name,Alwand_2,Alwand 2,????? 2,diyala
camp_name,Qoratu,Qoratu,??????,diyala
camp_name,Alwand_1,Alwand 1,????? 1,diyala
camp_name,other,Other,????,diyala
camp_name,Debaga_1,Debaga 1,????? 1 (???????),erbil
camp_name,Debaga_2,Debaga 2,????? 2,erbil
camp_name,Harshm,Harshm,????,erbil
camp_name,Baharka,Baharka,?????,erbil
camp_name,Other,Other,????,erbil
camp_name,Al_Kawthar_Camp,Al-Kawthar Camp (Kerbala MODM),???? ?????? ( ?????? ?????? ?????????),kerbala
camp_name,Laylan_IDP,Laylan IDP (1),????? 1,kirkuk
camp_name,Laylan_2,Laylan 2,????? 2,kirkuk
camp_name,Nazrawa,Nazrawa,???????,kirkuk
camp_name,Yahyawa,Yahyawa,??????,kirkuk
camp_name,other,Other,????,kirkuk
camp_name,As_Salamyiah,As Salamyiah,???????? 1& 2,ninewa
camp_name,As_Salamyiah_Nimrud,As Salamyiah Nimrud,???????? ?????,ninewa
camp_name,Essian,Essian,?????,ninewa
camp_name,Garmawa,Garmawa,??????,ninewa
camp_name,Haj_Ali,Haj Ali,??? ???,ninewa
camp_name,Hamam_Al_Alil_1,Hamam Al Alil 1,???? ?????? 1,ninewa
camp_name,Hamam_Al_Alil_2,Hamam Al Alil 2,???? ?????? 2,ninewa
camp_name,Hasansham_U2,Hasansham_U2,??? ??? U2,ninewa
camp_name,Hasansham_U3,Hasansham U3,??? ??? U3,ninewa
camp_name,Khazer_M1,Khazer M1,???? M1,ninewa
camp_name,Mamilian,Mamilian,???????,ninewa
camp_name,Mamrashan,Mamrashan,???????,ninewa
camp_name,Qayyarah_Airstrip,Qayyarah Airstrip,???? ??????? ( ???????),ninewa
camp_name,Qayyarah_Jad'ah,Qayyarah-Jad'ah (1-6),???? ??????? ( ????),ninewa
camp_name,Sheikhan,Sheikhan,?????,ninewa
camp_name,other,Other,????,ninewa
